Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Juan Carlos Gamboa,MEX,26,29,85,101,28,20,6,0,2,14,12,14,1,15,1,1,0,2,3,1,0.329
Ramon Urias,MEX,23,70,257,309,84,51,21,1,11,60,57,26,0,57,20,3,3,10,8,5,0.327
Alejandro Ortiz,MEX,27,39,119,132,38,25,11,0,2,18,17,10,2,22,2,1,0,3,0,3,0.319
Julian Ornelas,MEX,20,14,38,42,12,9,3,0,0,3,6,4,0,12,0,0,0,0,0,0,0.316
Jesus Fabela,MEX,22,48,149,179,46,32,8,1,5,30,21,20,0,14,4,1,5,5,3,2,0.309
Jose Carlos Urena,MEX,22,54,162,185,50,33,10,0,7,24,22,18,3,48,3,2,0,5,0,0,0.309
Emmanuel Avila,MEX,28,62,243,260,72,47,15,2,8,30,38,12,3,17,3,1,1,8,0,0,0.296
Eduardo Revilla,MEX,24,40,117,128,33,26,6,0,1,12,12,6,0,30,2,0,2,8,0,0,0.282
Jorge Vazquez,MEX,35,34,114,138,32,21,3,0,8,18,24,22,3,29,1,1,0,9,0,0,0.281
Refugio Cervantes,MEX,38,29,94,105,25,15,6,0,4,7,21,8,0,18,1,1,1,6,1,0,0.266
Luis Alfonso Garcia,MEX,38,16,51,62,13,9,1,0,3,11,9,7,0,10,2,2,0,3,0,0,0.255
Ricardo Valenzuela,MEX,26,49,134,152,34,31,2,0,1,16,11,15,0,17,0,1,2,5,0,4,0.254
Roman Sesteaga,MEX,20,5,12,14,3,3,0,0,0,2,0,2,0,5,0,0,0,0,0,0,0.25
Sergio Gastelum,MEX,38,37,97,113,24,19,5,0,0,7,10,12,1,13,1,1,2,5,0,0,0.247
Rolando Acosta,MEX,34,5,13,17,3,3,0,0,0,3,0,2,0,3,2,0,0,0,0,0,0.231
